year,location,deaths
2007,NE,98
2007,NG,153
2007,NP,31
2007,PE,32
2007,PH,483
2007,PK,1366
2007,RU,182
2007,SA,2
2007,SD,1181
2007,SO,1620
2007,TD,431
2007,TH,518
2007,TR,460
2007,TZ,3
2007,UG,156
2007,VE,2
2008,AF,5660
2008,AO,4
2008,AZ,30
2008,BD,13
2008,BI,220
2008,BR,20
2008,CD,1738
2008,CF,11
2008,CI,4
2008,CN,87
2008,CO,252
2008,DJ,35
2008,DZ,345
2008,EC,25
2008,EG,2
2008,ES,2
2008,ET,311
2008,GE,621
2008,GH,55
2008,GT,41
2008,GY,29
2008,HN,18
2008,ID,6
2008,IL,735
2008,IN,1766
2008,IQ,2732
2008,IR,117
2008,KE,783
2008,KH,2
2008,LB,38
2008,LK,8453
2008,ML,113
2008,MM,101
2008,MR,12
2008,MX,1869
2008,NE,56
2008,NG,426
2008,PE,40
2008,PH,566
2008,PK,4620
2008,RU,410
2008,SD,1241
2008,SN,11
2008,SO,1751
2008,TD,994
2008,TH,328
2008,TR,431
2008,UG,32
2008,YE,21
2008,ZW,253
2009,AF,6499
2009,AO,25
2009,AZ,7
2009,BD,10
2009,BR,40
2009,CD,5161
2009,CF,179
2009,CI,1
2009,CN,189
2009,CO,419
2009,DZ,541
2009,EG,1
2009,ES,3
2009,ET,590
2009,GB,2
2009,GH,8
2009,GN,160
2009,GT,1
2009,IL,706
2009,IN,1627
2009,IQ,1718
2009,IR,158
2009,KE,170
2009,KH,2
2009,LK,10418
2009,MG,113
2009,ML,127
2009,MM,217
2009,MR,1
2009,MX,2263
2009,NG,531
2009,NP,9
2009,PE,54
2009,PH,1047
2009,PK,7460
2009,RU,697
2009,RW,2
2009,SD,2689
2009,SN,19
2009,SO,2204
2009,TD,135
2009,TH,258
2009,TJ,17
2009,TR,126
2009,UG,60
2009,UZ,16
2009,YE,94
2010,AE,1
2010,AF,7151
2010,AO,7
2010,AZ,20
2010,BD,5
2010,BR,4
2010,CD,805
2010,CF,114
2010,CI,23
2010,CO,442
2010,DZ,252
2010,EG,1
2010,ET,152
2010,GE,3
2010,GH,1
2010,GN,1
2010,HN,58
2010,IL,64
2010,IN,1641
2010,IQ,1851
2010,IR,96
2010,KE,85
2010,KG,41
2010,ML,28
2010,MM,185
2010,MR,1
2010,MX,3313
2010,NG,980
2010,PE,29
2010,PH,372
2010,PK,7226
2010,RU,481
2010,SD,1790
2010,SN,19
2010,SO,2722
2010,TD,4
2010,TH,218
2010,TJ,98
2010,TR,204
2010,UG,74
2010,YE,201
2010,ZA,1
2011,AF,7565
2011,AO,1
2011,AZ,21
2011,BH,26
2011,BR,31
2011,CD,492
2011,CF,135
2011,CI,467
2011,CO,227
2011,DZ,276
2011,EG,31
2011,ES,1
2011,ET,66
2011,GB,1
2011,GN,25
2011,GT,27
2011,HN,18
2011,ID,9
2011,IL,73
2011,IN,789
2011,IQ,1394
2011,IR,206
2011,KE,144
2011,KH,10
2011,LK,2
2011,LY,2082
2011,ML,19
2011,MM,807
2011,MR,9
2011,MX,2715
2011,NG,1812
2011,PE,15
2011,PH,414
2011,PK,3474
2011,RU,396
2011,SD,2588
2011,SN,37
2011,SO,2118
2011,SS,1194
2011,TH,277
2011,TJ,28
2011,TR,425
2011,VE,1
2011,YE,1285
2011,ZW,1
2012,AF,7822
2012,AM,9
2012,AZ,16
2012,BD,2
2012,BI,9
2012,BR,11
2012,CD,1797
2012,CF,96
2012,CI,5
2012,CO,227
2012,DZ,264
2012,EG,75
2012,ET,385
2012,FR,4
2012,GN,8
2012,HN,18
2012,IL,73
2012,IN,800
2012,IQ,1407
2012,IR,17
2012,KE,309
2012,KH,1
2012,LB,52
2012,LY,78
2012,MG,15
2012,ML,359
2012,MM,955
2012,MR,1
2012,MX,1699
2012,MZ,2
2012,NE,1
2012,NG,2012
2012,PG,57
2012,PH,311
2012,PK,3540
2012,RU,525
2012,RW,13
2012,SD,1525
2012,SN,23
2012,SO,2989
2012,SS,864
2012,TH,244
2012,TR,739
2012,YE,2345
2012,ZW,1
2013,AF,8131
2013,AM,1
2013,AO,2
2013,AZ,11
2013,BD,54
2013,BI,9
2013,BR,4
2013,CD,2165
2013,CF,3192
2013,CI,2
2013,CM,6
2013,CO,140
2013,DZ,222
2013,EG,130
2013,ET,88
2013,GN,98
2013,IL,8
2013,IN,702
2013,IQ,4010
2013,IR,11
2013,KE,267
2013,LB,173
2013,LK,5
2013,ML,874
2013,MM,358
2013,MX,776
2013,MY,70
2013,MZ,31
2013,NE,31
2013,NG,3371
2013,PE,3
2013,PH,537
2013,PK,2902
2013,RU,365
2013,RW,4
2013,SD,1935
2013,SN,8
2013,SO,1045
2013,SS,1802
2013,TH,249
2013,TJ,3
2013,TR,19
2013,YE,582
2014,AF,12550
2014,AZ,46
2014,BD,2
2014,BI,50
2014,BR,1
2014,CD,1574
2014,CF,3011
2014,CM,1047
2014,CO,151
2014,DJ,1
2014,DZ,111
2014,EG,249
2014,ET,39
2014,HN,21
2014,IL,1682
2014,IN,731
2014,IQ,15010
2014,IR,2
2014,KE,344
2014,LB,198
2014,LY,1453
2014,ML,291
2014,MM,251
2014,MX,1642
2014,MZ,24
2014,NE,5
2014,NG,10271
2014,PE,14
2014,PH,484
2014,PK,3604
2014,RU,170
2014,SD,1912
2014,SO,1262
2014,SS,2491
2014,TD,16
2014,TH,100
2014,TR,10
2014,UA,4398
2014,UG,7
2014,YE,2120
2015,AF,17986
2015,AM,16
2015,AO,1
2015,AZ,63
2015,BD,10
2015,BI,220
2015,CD,651
2015,CF,621
2015,CM,1259
2015,CN,5
2015,CO,143
2015,DZ,110
2015,EG,974
2015,ET,307
2015,FR,133
2015,GN,3
2015,GT,20
2015,ID,4
2015,IL,15
2015,IN,629
2015,IQ,11251
2015,IR,4
2015,KE,389
2015,KW,26
2015,LB,200
2015,LY,1503
2015,ML,253
2015,MM,699
2015,MX,1653
2015,MZ,3
2015,NE,533
2015,NG,8987
2015,PE,9
2015,PH,628
2015,PK,2401
2015,RU,86
2015,SA,110
2015,SD,2552
2015,SO,1221
2015,SS,1136
2015,TD,397
2015,TH,80
2015,TN,63
2015,TR,1053
2015,UA,1304
2015,US,14
2015,YE,6984
2016,AF,18714
2016,AM,4
2016,AO,14
2016,AZ,137
2016,BD,73
2016,BE,34
2016,BF,26
2016,BI,15
2016,BR,12
2016,CD,1704
2016,CF,685
2016,CI,47
2016,CM,491
2016,CO,38
2016,DE,12
2016,DZ,89
2016,EG,313
2016,ER,25
2016,ET,528
2016,FR,87
2016,HN,10
2016,IL,11
2016,IN,783
2016,IQ,12020
2016,IR,59
2016,JO,34
2016,KE,131
2016,LB,56
2016,LY,2232
2016,ML,187
2016,MM,156
2016,MX,1320
2016,MZ,30
2016,NE,299
2016,NG,3944
2016,PE,11
2016,PH,609
2016,PK,1034
2016,RU,76
2016,RW,27
2016,SA,115
2016,SD,1973
2016,SO,2014
2016,SS,1211
2016,TD,26
2016,TH,67
2016,TN,72
2016,TR,1547
2016,UA,255
2016,UG,30
2016,YE,3178
2016,ZA,3
2017,AF,19699
2017,AO,26
2017,AZ,36
2017,BD,48
2017,BF,31
2017,BI,41
2017,BR,245
2017,CD,4842
2017,CF,1793
2017,CM,367
2017,CN,6
2017,CO,33
2017,DZ,77
2017,EG,900
2017,ES,16
2017,ET,475
2017,FR,2
2017,IL,19
2017,IN,839
2017,IQ,11389
2017,IR,40
2017,KE,227
2017,LB,293
2017,LK,1
2017,LY,984
2017,MG,1
2017,ML,548
2017,MM,1337
2017,MX,827
2017,MY,1
2017,NE,217
2017,NG,3420
2017,PE,7
2017,PH,1700
2017,PK,926
2017,RU,53
2017,RW,10
2017,SA,3
2017,SD,482
2017,SE,5
2017,SO,1978
2017,SS,1197
2017,TD,85
2017,TH,50
2017,TN,5
2017,TR,449
2017,TZ,1
2017,UA,409
2017,US,8
2017,VE,28
2017,YE,2530
